InChIKey14,broad_id_20170327,deprecated_broad_id_20170327,pert_iname_20170327,broad_id_20180516,deprecated_broad_id_20180516,pert_iname_20180516,broad_id_20180907,deprecated_broad_id_20180907,pert_iname_20180907,broad_id_20200324,deprecated_broad_id_20200324,pert_iname_20200324
AQMPIDSGLFVVPL,BRD-K72904818,,NNC-63-0532,BRD-K72904818,BRD-K36009368,NNC-63-0532,BRD-K72904818,BRD-K36009368,NNC-63-0532,BRD-K72904818,BRD-K36009368,NNC-63-0532
AQNDDEOPVVGCPG,BRD-A07395371,,esmolol,BRD-A07395371,,esmolol,BRD-A07395371,,esmolol,BRD-K01825842,,esmolol
AQOKCDNYWBIDND,BRD-A45153512,,bimatoprost,BRD-A45153512,,bimatoprost,BRD-A45153512,,bimatoprost,BRD-K00003616,,bimatoprost
AQRLDDAFYYAIJP,BRD-K43837174,,pruvanserin,BRD-K43837174,,pruvanserin,BRD-K43837174,,pruvanserin,BRD-K43837174,,pruvanserin
AQSSMEORRLJZLU,BRD-K18424115,,TG-100572,BRD-K18424115,,TG-100572,BRD-K18424115,,TG-100572,BRD-K18424115,,TG-100572
AQVFETGXIRKVAQ,BRD-K48832421,,PIM-1-Inhibitor-2,BRD-K48832421,,PIM-1-Inhibitor-2,BRD-K48832421,,PIM-1-Inhibitor-2,BRD-K48832421,,PIM-1-Inhibitor-2
ARAIBEBZBOPLMB,BRD-K23067689|BRD-K75153898,,zanamivir,BRD-K23067689|BRD-K75153898,,zanamivir,BRD-K23067689,BRD-K75153898,zanamivir,BRD-K23067689,BRD-K75153898,zanamivir
ARBYGDBJECGMGA,BRD-K62762455,,RU-58841,BRD-K62762455,,RU-58841,BRD-K62762455,,RU-58841,BRD-K62762455,,RU-58841
ARDYECYBETXQFD,BRD-A67975844,,NSC-405020,BRD-A67975844,,NSC-405020,BRD-A67975844,,NSC-405020,BRD-A67975844,,NSC-405020
ARFHIAQFJWUCFH,BRD-A00100033,,nifurtimox,BRD-A00100033,,nifurtimox,BRD-A00100033,,nifurtimox,BRD-A84020532,,nifurtimox
ARGIPZKQJGFSGQ,BRD-K66101666,,PYR-41,BRD-K66101666,,PYR-41,BRD-K66101666,,PYR-41,BRD-K66101666,,PYR-41
ARHWPKZXBHOEEE,BRD-K47492008,,alclofenac,BRD-K47492008,,alclofenac,BRD-K47492008,,alclofenac,BRD-K47492008,,alclofenac
ARIWANIATODDMH,BRD-A10773072,,glycerol-monolaurate,BRD-A10773072,,glycerol-monolaurate,BRD-A10773072,,glycerol-monolaurate,BRD-A10773072,,glycerol-monolaurate
ARJCBSRIPGJMAD,BRD-K06294530,,UK-383367,BRD-K06294530,,UK-383367,BRD-K06294530,,UK-383367,BRD-K06294530,,UK-383367
ARYQHSWJGHCGJS,BRD-K50699835,,ELN-441958,BRD-K50699835,,ELN-441958,BRD-K50699835,,ELN-441958,BRD-K50699835,,ELN-441958
ARYUXFNGXHNNDM,BRD-K45462423,,VU0361737,BRD-K45462423,,VU0361737,BRD-K45462423,,VU0361737,BRD-K45462423,,VU0361737
ASFKKFRSMGBFRO,BRD-A85548292,,piketoprofen,BRD-A85548292,,piketoprofen,BRD-A85548292,,piketoprofen,BRD-A85548292,,piketoprofen
ASGIQUHBAVIOTI,BRD-K17008822,,BD-1008,BRD-K17008822,,BD-1008,BRD-K17008822,,BD-1008,BRD-K17008822,,BD-1008
ASMXXROZKSBQIH,BRD-K74363950,,aclidinium,BRD-K74363950,,aclidinium,BRD-K74363950,,aclidinium,BRD-K74363950,,aclidinium
ASNFTDCKZKHJSW,BRD-K92404805,,L-Quisqualic-acid,BRD-K92404805,,L-Quisqualic-acid,BRD-K92404805,,L-Quisqualic-acid,BRD-K92404805,,L-quisqualic-acid
ASOADIZOVZTJSR,BRD-K66192203,,opicapone,BRD-K66192203,,opicapone,BRD-K66192203,,opicapone,BRD-K66192203,,opicapone
ASSJTMUEFHUKMJ,BRD-K38793468,,TAK-220,BRD-K38793468,,TAK-220,BRD-K38793468,,TAK-220,BRD-K38793468,,TAK-220
ASUGUQWIHMTFJL,BRD-A95300432,,decernotinib,BRD-A95300432,,decernotinib,BRD-A95300432,,decernotinib,BRD-A95300432,,decernotinib
ASUTZQLVASHGKV,BRD-K49481516,,galantamine,BRD-K49481516,,galantamine,BRD-K49481516,,galantamine,BRD-K49481516,,galantamine
ASWVTGNCAZCNNR,BRD-K11640013,,sulfamethazine,BRD-K11640013,,sulfamethazine,BRD-K11640013,,sulfamethazine,BRD-K11640013,,sulfamethazine
ASXBYYWOLISCLQ,BRD-A67363467,,dihydrostreptomycin,BRD-A67363467,,dihydrostreptomycin,BRD-A67363467,,dihydrostreptomycin,,,
ASXGJMSKWNBENU,BRD-A48015106,,8-hydroxy-DPAT,BRD-A48015106,,8-hydroxy-DPAT,BRD-A48015106,,8-hydroxy-DPAT,BRD-K01826732,,8-hydroxy-DPAT
ATAJVFBUUIBIEO,BRD-K01653460,,chlorindanol,BRD-K01653460,,chlorindanol,BRD-K01653460,,chlorindanol,BRD-K01653460,,chlorindanol
ATALOFNDEOCMKK,BRD-K65170927,,aprepitant,BRD-K65170927,,aprepitant,BRD-K65170927,,aprepitant,BRD-K52827117,,aprepitant
ATCGGEJZONJOCL,BRD-K74195153,,irsogladine,BRD-K74195153,,irsogladine,BRD-K74195153,,irsogladine,BRD-K74195153,,irsogladine
ATEFPOUAMCWAQS,BRD-K61269089,,daphnetin,BRD-K61269089,,daphnetin,BRD-K61269089,,daphnetin,BRD-K61269089,,daphnetin
ATHGHQPFGPMSJY,BRD-K40438880,,spermidine,BRD-K40438880,,spermidine,BRD-K40438880,,spermidine,BRD-K40438880,,spermidine
ATHHXGZTWNVVOU,BRD-K33445938,,N-methylformamide,BRD-K33445938,,N-methylformamide,BRD-K33445938,,N-methylformamide,BRD-K33445938,,N-methylformamide
ATLJNLYIJOCWJE,BRD-K25970317,,resibufogenin,BRD-K25970317,,resibufogenin,BRD-K25970317,,resibufogenin,BRD-K25970317,,resibufogenin
ATORKVYCKKBNTF,BRD-K02988401,,UNC0737,BRD-K02988401,,UNC0737,BRD-K02988401,,UNC0737,BRD-K02988401,,UNC0737
ATOTUUBRFJHZQG,BRD-M67659203,,pamabrom,BRD-M67659203,,pamabrom,BRD-M67659203,,pamabrom,BRD-M67659203,,pamabrom
ATXHVCQZZJYMCF,BRD-K12872829,,allylestrenol,BRD-K12872829,,allylestrenol,BRD-K12872829,,allylestrenol,BRD-K12872829,,allylestrenol
ATZHGRNFEFVDDJ,BRD-K42108215,,4-propylbenzoic-acid,BRD-K42108215,,4-propylbenzoic-acid,BRD-K42108215,,4-propylbenzoic-acid,BRD-K42108215,,4-propylbenzoic-acid
AUFUWRKPQLGTGF,BRD-K18323388,,uridine-triacetate,BRD-K18323388,,uridine-triacetate,BRD-K18323388,,uridine-triacetate,BRD-K18323388,,uridine-triacetate
AUGQEEXBDZWUJY,BRD-K45724504,,anguidine,BRD-K45724504,,anguidine,BRD-K45724504,,anguidine,BRD-K45724504,,anguidine
AUJRCFUBUPVWSZ,BRD-A28431708,,auranofin,BRD-K45995181,,auranofin,BRD-K45995181,BRD-A28431708|BRD-K63171558,auranofin,BRD-K45995181,BRD-A28431708|BRD-K63171558|BRD-U68276368,auranofin
AUJXLBOHYWTPFV,BRD-A68969091,,echinomycin,BRD-A68969091,,echinomycin,BRD-A68969091,BRD-M14664499,echinomycin,BRD-K00010937,,echinomycin
AULLUGALUBVBDD,BRD-K74236984,,UNC0321,BRD-K74236984,,UNC0321,BRD-K74236984,,UNC0321,BRD-K74236984,,UNC0321
AUNGANRZJHBGPY,BRD-K70246307|BRD-K92760278,,riboflavin,BRD-K70246307|BRD-K92760278,,riboflavin,BRD-K70246307|BRD-K92760278,,riboflavin,BRD-K92760278,,riboflavin
AURFZBICLPNKBZ,BRD-K18172896,,eltanolone,BRD-A03204438|BRD-K18172896,,allopregnanolone|eltanolone|pregnanolone,BRD-A03204438|BRD-K18172896,,allopregnanolone|eltanolone|pregnanolone,BRD-K30827431,,eltanolone
AUVVAXYIELKVAI,BRD-A25687296|BRD-K03067624,,emetine,BRD-A25687296|BRD-K03067624,,emetine,BRD-A25687296|BRD-K03067624,,emetine,BRD-K03067624,,emetine
AUXCHYJDVJZEPG,BRD-A52660433,,tetrindole,BRD-A52660433,,tetrindole,BRD-A52660433,,tetrindole,BRD-A52660433,,tetrindole
AUYYCJSJGJYCDS,BRD-K46428823|BRD-K89152108,,liothyronine|liothyronine-(isomer),BRD-K46428823|BRD-K89152108,,liothyronine|liothyronine-(isomer),BRD-K46428823|BRD-K89152108,,liothyronine|liothyronine-(isomer),BRD-K46428823|BRD-K89152108,,liothyronine|liothyronine-(isomer)
AUZONCFQVSMFAP,BRD-K32744045,,disulfiram,BRD-K32744045,,disulfiram,BRD-K32744045,,disulfiram,BRD-K32744045,,disulfiram
AVAACINZEOAHHE,BRD-K20901660|BRD-K45319714,,doripenem,BRD-K20901660|BRD-K45319714,,doripenem,BRD-K45319714,BRD-K20901660,doripenem,BRD-K45319714,BRD-K20901660,doripenem
AVDSOVJPJZVBTC,BRD-K73197500,,SNX-5422,BRD-K73197500,,SNX-5422,BRD-K73197500,,SNX-5422,BRD-K73197500,,SNX-5422
AVDUGNCTZRCAHH,BRD-K49519144,,LY2140023,BRD-K49519144,,LY2140023,BRD-K49519144,,LY2140023,BRD-K49519144,,LY2140023
AVFYPHPSIBAAME,BRD-K44471774,,bay-w-9798,BRD-K44471774,,bay-w-9798,BRD-K44471774,,bay-w-9798,BRD-K44471774,,BAY-W-9798
AVKUERGKIZMTKX,BRD-K68432770|BRD-K94927753,,ampicillin,BRD-K68432770|BRD-K94927753,,ampicillin,BRD-K68432770,BRD-K94927753,ampicillin,BRD-K68432770,BRD-K94927753,ampicillin
AVOLMBLBETYQHX,BRD-K63630713,,etacrynic-acid,BRD-K63630713,,etacrynic-acid,BRD-K63630713,,etacrynic-acid,BRD-K63630713,,etacrynic-acid
AVWWVJUMXRXPNF,BRD-K47878171,,bephenium-hydroxynaphthoate,BRD-K47878171,,bephenium-hydroxynaphthoate,BRD-K47878171,,bephenium-hydroxynaphthoate,BRD-K47878171,,bephenium-hydroxynaphthoate
AVZCPICCWKMZDT,BRD-K32847255,,GSK-J1,BRD-K32847255,,GSK-J1,BRD-K32847255,,GSK-J1,BRD-K32847255,,GSK-J1
AWOPBSAJHCUSAS,BRD-K43363084,,atglistatin,BRD-K43363084,,atglistatin,BRD-K43363084,,atglistatin,BRD-K43363084,,atglistatin
AWSKBQNOSRREEY,BRD-K24864897,,JNJ-26990990,BRD-K24864897,,JNJ-26990990,BRD-K24864897,,JNJ-26990990,BRD-K24864897,,JNJ-26990990
AWSRKKBIPSQHOJ,BRD-K21415491,,ALS-8176,BRD-K21415491,,ALS-8176,BRD-K21415491,,ALS-8176,BRD-K21415491,,ALS-8112
AXISYYRBXTVTFY,BRD-K13409143,,isopropyl-myristate,BRD-K13409143,,isopropyl-myristate,BRD-K13409143,,isopropyl-myristate,BRD-K13409143,,isopropyl-myristate
AXKPFOAXAHJUAG,BRD-K26801045,,pipamperone,BRD-K26801045,,pipamperone,BRD-K26801045,,pipamperone,BRD-K26801045,,pipamperone
AXNGJCOYCMDPQG,BRD-A62057054,,MDL-11939,BRD-A62057054,,MDL-11939,BRD-A62057054,,MDL-11939,BRD-A62057054,,MDL-11939
AXNVHPCVMSNXNP,BRD-A90796352,,escin,BRD-A90796352,,escin,BRD-A90796352,,escin,BRD-K00010936,,escin
AXOIZCJOOAYSMI,BRD-K45497762,,succinylcholine-chloride,BRD-K45497762,,succinylcholine-chloride,BRD-K45497762,,succinylcholine-chloride,BRD-K45497762,,succinylcholine-chloride
AXRCEOKUDYDWLF,BRD-K79404599,,enzastaurin,BRD-K79404599,,enzastaurin,BRD-K79404599,,enzastaurin,BRD-K79404599,,enzastaurin
AXRYRYVKAWYZBR,BRD-K09757388,,atazanavir,BRD-K09757388,,atazanavir,BRD-K09757388,,atazanavir,BRD-K09757388,,atazanavir
AXTAPYRUEKNRBA,BRD-K38332599,,uprosertib,BRD-K38332599,,uprosertib,BRD-K38332599,,uprosertib,BRD-K38332599,,uprosertib
AXTGDCSMTYGJND,BRD-K35698076,,laurocapram,BRD-K35698076,,laurocapram,BRD-K35698076,,laurocapram,BRD-K35698076,,laurocapram
AXUZQJFHDNNPFG,BRD-A73679382,,MK-571,BRD-A73679382,,MK-571,BRD-A73679382,,MK-571,BRD-A73679382,,MK-571
AYCPARAPKDAOEN,BRD-K37764012,,PF-03758309,BRD-K37764012,,PF-03758309,BRD-K37764012,,PF-03758309,BRD-K37764012,,PF-03758309
AYDXAULLCROVIT,BRD-A16296925,,indobufen,BRD-A16296925,,indobufen,BRD-A16296925,,indobufen,BRD-A16296925,,indobufen
AYEKOFBPNLCAJY,BRD-A09994331,,thiamine-pyrophosphate,BRD-A09994331,,thiamine-pyrophosphate,BRD-A09994331,,thiamine-pyrophosphate,BRD-A09994331,,thiamine-pyrophosphate
AYEOSGBMQHXVER,BRD-K41962502|BRD-K44602126,,"2,3-cis/exo-camphanediol|cis-exo-camphanediol-2,3",BRD-K41962502|BRD-K44602126,,"2,3-cis/exo-camphanediol|cis-exo-camphanediol-2,3",BRD-K41962502|BRD-K44602126,,"2,3-cis/exo-camphanediol|cis-exo-camphanediol-2,3",BRD-K41962502|BRD-K44602126,,"2,3-cis/exo-camphanediol|cis-exo-camphanediol-2,3"
AYFVYJQAPQTCCC,BRD-K75508643,,L-threonine,BRD-K75508643,,L-threonine,BRD-K75508643,,L-threonine,BRD-K75508643,,L-threonine
AYIRNRDRBQJXIF,BRD-A30886737|BRD-K11298197,,florfenicol,BRD-A30886737|BRD-K11298197,,florfenicol,BRD-A30886737|BRD-K11298197,,florfenicol,BRD-K11298197,,florfenicol
AYJRTVVIBJSSKN,BRD-K60341624,,GSK1292263,BRD-K60341624,,GSK1292263,BRD-K60341624,,GSK1292263,BRD-K60341624,,GSK1292263
AYMYWHCQALZEGT,BRD-K17497770,,butein,BRD-K17497770,,butein,BRD-K17497770,,butein,BRD-K17497770,,butein
AYUNIORJHRXIBJ,BRD-K34504123|BRD-K81473043,,tanespimycin,BRD-K34504123|BRD-K81473043,,tanespimycin,BRD-K81473043,BRD-K34504123,tanespimycin,BRD-K81473043,BRD-K34504123,tanespimycin
AYXYPKUFHZROOJ,BRD-K66786476,,pregabalin,BRD-K66786476,,pregabalin,BRD-K66786476,,pregabalin,,,
AYYCFGDXLUPJAQ,BRD-K31054881,,BMY-7378,BRD-K31054881,,BMY-7378,BRD-K31054881,,BMY-7378,BRD-K31054881,,BMY-7378
AZAANWYREOQRFB,BRD-K66911501,,MK-3207,BRD-K66911501,,MK-3207,BRD-K66911501,,MK-3207,BRD-K66911501,,MK-3207
AZEXWHKOMMASPA,BRD-K31519811,,PF-02545920,BRD-K31519811,,PF-02545920,BRD-K31519811,,PF-02545920,BRD-K31519811,,PF-02545920
AZFBLLCNOQPJGJ,BRD-K30563334,,rifabutin,BRD-K30563334,,rifabutin,BRD-K30563334,,rifabutin,,,
AZFLJNIPTRTECV,BRD-K64504314,,dienogest,BRD-K50853363,,dienogest,BRD-K50853363,BRD-K64504314,dienogest,BRD-K50853363,BRD-K64504314,dienogest
AZKMWHRDICVYEI,BRD-K09619578,,DS2-(806622),BRD-K09619578,,DS2-(806622),BRD-K09619578,,DS2-(806622),BRD-K09619578,,DS2-(806622)
AZKVWQKMDGGDSV,BRD-K28824103|BRD-K70886785,,genipin,BRD-K28824103|BRD-K70886785,,genipin,BRD-K28824103,BRD-K70886785,genipin,BRD-K28824103,BRD-K70886785,genipin
AZSNMRSAGSSBNP,BRD-A48570745|BRD-K71544586|BRD-K85554912,,ivermectin,BRD-A48570745|BRD-K71544586|BRD-K85554912,,ivermectin,BRD-K85554912,BRD-A48570745|BRD-K71544586|BRD-M44211600,ivermectin,BRD-K85554912,BRD-A48570745|BRD-K71544586|BRD-M44211600,ivermectin
AZVFIZVKGSPGPK,BRD-K36379990,,riodipine,BRD-K36379990,,riodipine,BRD-K36379990,,riodipine,BRD-K36379990,,riodipine
BAAILVWEAXFTSF,BRD-K08223200,,WAY-200070,BRD-K08223200,,WAY-200070,BRD-K08223200,,WAY-200070,BRD-K08223200,,WAY-200070
BAINIUMDFURPJM,BRD-K02079473,,oxatomide,BRD-K02079473,,oxatomide,BRD-K02079473,,oxatomide,BRD-K22556255,,oxatomide
BALLNEJQLSTPIO,BRD-K70504253,,fruquintinib,BRD-K70504253,,fruquintinib,BRD-K70504253,,fruquintinib,BRD-K70504253,,fruquintinib
BANYJBHWTOJQDU,BRD-K52394958,,GR-159897,BRD-K52394958,,GR-159897,BRD-K52394958,,GR-159897,BRD-K52394958,,GR-159897
BAORCAMWLWRZQG,BRD-K99475619,,genz-644282,BRD-K99475619,,genz-644282,BRD-K99475619,,genz-644282,BRD-K99475619,,genz-644282
BAQAVOSOZGMPRM,BRD-K23414802|BRD-K58968598,,sucralose,BRD-K58968598,,sucralose,BRD-K58968598,BRD-K23414802,sucralose,BRD-K58968598,BRD-K23414802,sucralose
BAQCROVBDNBEEB,BRD-A45543382,,metrizamide,BRD-A45543382,,metrizamide,BRD-A45543382,,metrizamide,BRD-A45543382,,metrizamide
BARDROPHSZEBKC,BRD-K23848629,,fosaprepitant-dimeglumine,BRD-K23848629,,fosaprepitant-dimeglumine,BRD-K23848629,,fosaprepitant-dimeglumine,BRD-K23848629,,fosaprepitant-dimeglumine
BATCTBJIJJEPHM,BRD-K86816506,,PF-04457845,BRD-K86816506,,PF-04457845,BRD-K86816506,,PF-04457845,BRD-K86816506,,PF-04457845
BATVOUKHGLKDGQ,BRD-A28318179,,aminomethyltransferase,BRD-A28318179,,aminomethyltransferase,BRD-A28318179,,aminomethyltransferase,BRD-A28318179,,aminomethyltransferase
BAWFJGJZGIEFAR,BRD-A11132253,,nadide,BRD-A11132253,,nadide,BRD-A11132253,,nadide,BRD-K01824972,,nadide
BBACKDMGYMXYLE,BRD-A41835910,,tenilsetam,BRD-A41835910,,tenilsetam,BRD-A41835910,,tenilsetam,BRD-A41835910,,tenilsetam
BBAWEDCPNXPBQM,BRD-K72912098|BRD-K83470352,,telaprevir,BRD-K72912098|BRD-K83470352,,telaprevir,BRD-K72912098,BRD-K83470352,telaprevir,BRD-K72912098,BRD-K83470352,telaprevir
BBDAGFIXKZCXAH,BRD-K80834753|BRD-K81021983,,cyclocytidine,BRD-K80834753|BRD-K81021983,,cyclocytidine,BRD-K67536197,BRD-K67536197|BRD-K80834753,cyclocytidine,BRD-K67536197,BRD-K67536197|BRD-K80834753,cyclocytidine
BBDGBGOVJPEFBT,BRD-K59831625,,LDN-212854,BRD-K59831625,,LDN-212854,BRD-K59831625,,LDN-212854,BRD-K59831625,,LDN-212854
BBGHHIUQOKQCBW,BRD-K68220839,,LY2979165,BRD-K68220839,,LY2979165,BRD-K68220839,,LY2979165,BRD-K68220839,,LY2979165
BBIPVJCGIASXJB,BRD-K77987496,,ITI214,BRD-K77987496,,ITI214,BRD-K77987496,,ITI214,BRD-K77987496,,ITI214
BBMULGJBVDDDNI,BRD-A72711497,,lasalocid,BRD-A72711497,,lasalocid,BRD-A72711497,,lasalocid,BRD-K10207760,,lasalocid
BBQRBOIMSKMFFO,BRD-K56468417|BRD-K67173685,,4E1RCat,BRD-K56468417|BRD-K67173685,,4E1RCat,BRD-K67173685,BRD-K56468417,4E1RCat,BRD-K67173685,BRD-K56468417,4E1RCat
BBUVDDPUURMFOX,BRD-K97452254,,AMG-925,BRD-K97452254,,AMG-925,BRD-K97452254,,AMG-925,BRD-K97452254,,AMG-925
BBVNTTZIOTWDSV,BRD-K40302533,,PF-5274857,BRD-K40302533,,PF-5274857,BRD-K40302533,,PF-5274857,BRD-K40302533,,PF-5274857
BCBIBQWDFMQRSJ,BRD-M87138257,,acriflavine,BRD-M87138257,,acriflavine,BRD-M87138257,,acriflavine,BRD-M87138257,,acriflavine
BCEHBSKCWLPMDN,BRD-K06557128,,voriconazole,BRD-K06557128,,voriconazole,BRD-K06557128,,voriconazole,BRD-K06557128,,voriconazole
BCFGMOOMADDAQU,BRD-K19687926,,lapatinib,BRD-K19687926,,lapatinib,BRD-K19687926,,lapatinib,BRD-K19687926,,lapatinib
BCGWQEUPMDMJNV,BRD-K38436528,,imipramine,BRD-K38436528,,imipramine,BRD-K38436528,,imipramine,BRD-K38436528,,imipramine
BCQTVJKBTWGHCX,BRD-K83245588,,pilsicainide,BRD-K83245588,,pilsicainide,BRD-K83245588,,pilsicainide,BRD-K83245588,,pilsicainide
BCQZXOMGPXTTIC,BRD-A20550616,,halothane,BRD-A20550616,,halothane,BRD-A20550616,,halothane,BRD-A20550616,,halothane
BCSHRERPHLTPEE,BRD-K72827473,,CEP-37440,BRD-K72827473,,CEP-37440,BRD-K72827473,,CEP-37440,BRD-K72827473,,CEP-37440
BCUGCHZRMKTPMU,BRD-K81729199,,AQ-RA741,BRD-K81729199,,AQ-RA741,BRD-K81729199,,AQ-RA741,BRD-K81729199,,AQ-RA741
BCZUAADEACICHN,BRD-K19477839,,SGX523,BRD-K19477839,,SGX523,BRD-K19477839,,SGX523,BRD-K19477839,,SGX523
BDABGOLMYNHHTR,BRD-K04643877,,perzinfotel,BRD-K04643877,,perzinfotel,BRD-K04643877,,perzinfotel,BRD-K04643877,,perzinfotel
BDBMLMBYCXNVMC,BRD-K80762071,,indocyanine-green,BRD-K80762071,,indocyanine-green,BRD-K80762071,,indocyanine-green,BRD-K80762071,,indocyanine-green
BDHMSYNBSBZCAF,BRD-K80639402,,SB-258585,BRD-K80639402,,SB-258585,BRD-K80639402,,SB-258585,BRD-K80639402,,SB-258585
BDJRBEYXGGNYIS,BRD-K08976401,,azelaic-acid,BRD-K08976401,,azelaic-acid,BRD-K08976401,,azelaic-acid,BRD-K08976401,,azelaic-acid
BDNFQGRSKSQXRI,BRD-K80451230,,zamifenacin,BRD-K80451230,,zamifenacin,BRD-K80451230,,zamifenacin,BRD-K80451230,,zamifenacin
BDSYKGHYMJNPAB,BRD-K65877271,,halobetasol-propionate,BRD-K65877271,,halobetasol-propionate,BRD-K65877271,,halobetasol-propionate,BRD-K71487404,,halobetasol-propionate
BDUHCSBCVGXTJM,BRD-A12230535,,nutlin-3,BRD-A12230535|BRD-K73255294,,nutlin-3,BRD-A12230535|BRD-K73255294,,nutlin-3,BRD-K00002882,,nutlin-3
BDYHNCZIGYIOGJ,BRD-A90272038,,CGP-37849,BRD-A90272038,,CGP-37849,BRD-A90272038,,CGP-37849,BRD-A90272038,,CGP-37849
BDYYDXJSHYEDGB,BRD-K10974103,,diloxanide,BRD-K10974103,,diloxanide,BRD-K10974103,,diloxanide,BRD-K10974103,,diloxanide
BELBBZDIHDAJOR,BRD-K79892937,,phenolsulfonphthalein,BRD-K79892937,,phenolsulfonphthalein,BRD-K79892937,,phenolsulfonphthalein,BRD-K79892937,,phenolsulfonphthalein
BEMNJULZEQTDJY,BRD-K11683436,,CH-5183284,BRD-K11683436,,CH-5183284,BRD-K11683436,,CH-5183284,BRD-K11683436,,CH-5183284
BENFXAYNYRLAIU,BRD-K73451719,,terlipressin,BRD-K73451719,,terlipressin,BRD-K73451719,,terlipressin,BRD-K73451719,,terlipressin
BEPGKLOHQTXUHX,BRD-K82028950,,CGH2466,BRD-K82028950,,CGH2466,BRD-K82028950,,CGH2466,BRD-K82028950,,CGH2466
BERLXWPRSBJFHO,BRD-K24566386,,SD-208,BRD-K24566386,,SD-208,BRD-K24566386,,SD-208,BRD-K24566386,,SD-208
BEUQXVWXFDOSAQ,BRD-K44844162,,taselisib,BRD-K44844162,,taselisib,BRD-K44844162,,taselisib,BRD-K44844162,,taselisib
BEZZFPOZAYTVHN,BRD-A33447119,,oxfendazole,BRD-A33447119,,oxfendazole,BRD-A33447119,,oxfendazole,BRD-A33447119,,oxfendazole
BFCDFTHTSVTWOG,BRD-A34205397,,suloctidil,BRD-A34205397,,suloctidil,BRD-A34205397,,suloctidil,BRD-K42635745,,suloctidil
BFDBKMOZYNOTPK,BRD-K32768103,,vonoprazan,BRD-K32768103,,vonoprazan,BRD-K32768103,,vonoprazan,BRD-K32768103,,vonoprazan
BFNCJMURTMZBTE,BRD-K63919159,,aptiganel,BRD-K63919159,,aptiganel,BRD-K63919159,,aptiganel,BRD-K63919159,,aptiganel
BFNKQTIJVFGCKQ,BRD-K83508485,,FK-888,BRD-K83508485,,FK-888,BRD-K83508485,,FK-888,BRD-K83508485,,FK-888
BFPSDSIWYFKGBC,BRD-K27062708,,chlorotrianisene,BRD-K27062708,,chlorotrianisene,BRD-K27062708,,chlorotrianisene,BRD-K27062708,,chlorotrianisene
BFPYWIDHMRZLRN,BRD-A02367930|BRD-K42555202|BRD-K48195008,,ethinyl-estradiol,BRD-A02367930|BRD-K42555202|BRD-K48195008,,ethinyl-estradiol,BRD-K48195008,BRD-A02367930|BRD-K42555202,ethinyl-estradiol,BRD-K48195008,BRD-A02367930|BRD-K42555202,ethinyl-estradiol
BFSMGDJOXZAERB,BRD-K09951645,,dabrafenib,BRD-K09951645,,dabrafenib,BRD-K09951645,,dabrafenib,BRD-K09951645,,dabrafenib
BFSRTTWIPACGMI,BRD-K24869513,,CNX-2006,BRD-K24869513,,CNX-2006,BRD-K24869513,,CNX-2006,BRD-K24869513,,CNX-2006
BFUJHVVEMMWLHC,BRD-K37688416,,fipexide,BRD-K37688416,,fipexide,BRD-K37688416,,fipexide,BRD-K37688416,,fipexide
BFVNEYDCFJNLGN,BRD-K11373525,,ZD-7155,BRD-K11373525,,ZD-7155,BRD-K11373525,,ZD-7155,BRD-K11373525,,ZD-7155
BFYIZQONLCFLEV,BRD-A73741725|BRD-K35247444,,exemestane,BRD-A73741725|BRD-K33425534|BRD-K93923542,,exemestane,BRD-K33425534,BRD-A73741725|BRD-K93923542,exemestane,BRD-K33425534,BRD-A73741725|BRD-K93923542,exemestane
BFZHCUBIASXHPK,BRD-K93900986,,stetaderm,BRD-K93900986,,stetaderm,BRD-K93900986,,stetaderm,BRD-K93900986,,stetaderm
BGBNULCRKBVAKL,BRD-A09004963,,APR-246,BRD-A09004963,,APR-246,BRD-A09004963,,APR-246,BRD-A09004963,,APR-246
BGBVSGSIXIIREO,BRD-K79595931,,bavisant,BRD-K79595931,,bavisant,BRD-K79595931,,bavisant,BRD-K79595931,,bavisant
BGDKAVGWHJFAGW,BRD-A79672927,,tropicamide,BRD-A79672927,,tropicamide,BRD-A79672927,,tropicamide,BRD-A79672927,,tropicamide
BGEBZHIAGXMEMV,BRD-K12968785,,bergapten,BRD-K12968785,,bergapten,BRD-K12968785,,bergapten,BRD-K12968785,,bergapten
BGFHMYJZJZLMHW,BRD-K36739687,,stemregenin-1,BRD-K36739687,,stemregenin-1,BRD-K36739687,,stemregenin-1,BRD-K36739687,,stemregenin-1
BGIHRZPJIYJKAZ,BRD-M78068755,,miriplatin,BRD-M78068755,,miriplatin,BRD-M78068755,,miriplatin,BRD-M78068755,,miriplatin
BGKFPRIGXAVYNX,BRD-K60287130,,"5,7-dichlorokynurenic-acid",BRD-K60287130,,"5,7-dichlorokynurenic-acid",BRD-K60287130,,"5,7-dichlorokynurenic-acid",BRD-K60287130,,"5,7-dichlorokynurenic-acid"
BGLPECHZZQDNCD,BRD-K25835157,,PRT062070,BRD-K25835157,,PRT062070,BRD-K25835157,,PRT062070,BRD-K25835157,,PRT062070
BGOQGUHWXBGXJW,BRD-K31471398,,dihydrexidine,BRD-K31471398,,dihydrexidine,BRD-K31471398,,dihydrexidine,BRD-K31471398,,dihydrexidine
