!Source	"The Drug Repurposing Hub, Broad Institute"		
!URL	http://www.broadinstitute.org/repurposing		
!File_date	3/27/17		
!Table_name	drug information		
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.		
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER’S SOLE RISK.		
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.		
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 23 (2017)."		
!Contact	repurposing@broadinstitute.org		
pert_iname	clinical_phase	moa	target
apremilast	Launched	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D
aprepitant	Launched	tachykinin antagonist	TACR1
apricitabine	Phase 3	nucleoside reverse transcriptase inhibitor	
aprindine	Launched	voltage-gated sodium channel blocker	CALM1|SCN5A
aptiganel	Phase 3	glutamate receptor antagonist	GRIN1
APTO-253	Phase 1	krüppel-like factor expression enhancer	KLF4
APY0201	Preclinical	phosphoinositide dependent kinase inhibitor	IL12A|IL12B|PIKFYVE
AP1903	Phase 1/Phase 2		
AP26113	Phase 2	ALK tyrosine kinase receptor inhibitor	ALK|EGFR
AQ-RA741	Preclinical	acetylcholine receptor antagonist	CHRM2
AR-A014418	Preclinical	glycogen synthase kinase inhibitor	GSK3B
AR-C155858	Preclinical	monocarboxylate transporter inhibitor	SLC16A1|SLC16A7
AR-12	Phase 1	phosphoinositide dependent kinase inhibitor	PDPK1
AR-42	Phase 1	HDAC inhibitor	HDAC1
arachidonic-acid	Phase 1	cytochrome P450 inhibitor	CLCN2|KCNJ4|KCNK10|KCNK18|KCNK2|PRKCZ|PTGS1|TRPC6|TRPM2
arbidol	Launched	cytochrome P450 inhibitor	CYP3A4
arbutin	Phase 2/Phase 3	melanin inhibitor	TYR
ARC-239	Preclinical	adrenergic receptor antagonist	ADRA2A|ADRA2B|ADRA2C
arctigenin	Preclinical	MEK inhibitor	CHUK|MAP2K1
arcyriaflavin-a	Preclinical	CDK inhibitor	CCND1|CDK4
ardeparin	Withdrawn	thrombin inhibitor	SERPINC1|SERPIND1
arecaidine-but-2-ynyl-ester	Preclinical	acetylcholine receptor agonist	CHRM2
arecaidine-propargyl-ester	Preclinical	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4
arecoline	Phase 1	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4
argatroban	Launched	thrombin inhibitor	F2
arglabin	Launched	farnesyltransferase inhibitor	FNTA|NFKB1
aripiprazole	Launched	serotonin receptor agonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7
armodafinil	Launched	adrenergic receptor agonist	SLC6A3
ARN-509	Phase 3	androgen receptor antagonist	AR
arofylline	Phase 3	phosphodiesterase inhibitor	PDE4A
arotinolol	Launched	adrenergic receptor antagonist	ADRB3
ARQ-092	Phase 1	AKT inhibitor	AKT2
ARQ-621	Phase 1	kinesin-like spindle protein inhibitor	KIF11
ARRY-334543	Phase 2	EGFR inhibitor	ERBB2
arsanilic-acid	Phase 1		LYZ
arsenic-trioxide	Launched	apoptosis stimulant	AKT1|CCND1|IKBKB|JUN|MAPK1|MAPK3|TXNRD1
artemether	Launched	antimalarial agent	ATP1A1
artemisinin	Launched	DNA synthesis inhibitor	CYP2B6
artemotil	Launched		
artesunate	Launched	DNA synthesis inhibitor	
articaine	Launched	local anesthetic	
arundic-acid	Phase 2/Phase 3	astrocyte modulating agent	PTGS2|S100B
ARV-825	Preclinical	bromodomain inhibitor	BRD4
AS-1949490	Preclinical	SHIP2 phosphatase inhibitor	INPP5D
AS-252424	Preclinical	PI3K inhibitor	PIK3CG
AS-604850	Preclinical	PI3K inhibitor	PIK3CA|PIK3CG
AS-703026	Phase 2	MEK inhibitor	MAP2K1|MAP2K2
AS-77	Preclinical	potassium channel blocker	KCNA3|KCNA5|KCNN4
ASA-404	Phase 3	angiogenesis inhibitor	
asaraldehyde	Preclinical	cyclooxygenase inhibitor	PTGS2
ASC-J9	Phase 2	androgen receptor enhancer	AR
ascomycin	Preclinical	calcineurin inhibitor	FKBP1A
ascorbic-acid	Launched	antioxidant	ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE
asenapine	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|HRH1|HRH2|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7
asiatic-acid	Preclinical	apoptosis stimulant	PYGM
ASP-2535	Phase 1	glycine transporter inhibitor	SLC6A9
aspartame	Launched		TAS1R2|TRPV1
aspirin	Launched	cyclooxygenase inhibitor	AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|PTGS1|PTGS2|RPS6KA3|TP53
ASP3026	Phase 1	ALK tyrosine kinase receptor inhibitor	ALK
AST-1306	Phase 1	EGFR inhibitor	EGFR|ERBB2
astaxanthin	Launched	antioxidant	
astemizole	Withdrawn	histamine receptor antagonist	HRH1|KCNH1|KCNH2
astragaloside-a	Preclinical	antiinflammatory agent	
asunaprevir	Phase 3	HCV inhibitor	
asymmetrical-dimethylarginine	Phase 1	nitric oxide synthase inhibitor	NOS2|NOS3
AT-7519	Phase 2	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK9
AT-9283	Phase 2	Aurora kinase inhibitor|JAK inhibitor	AURKA|AURKB|JAK2|JAK3|RPS6KA6|STK17A
ataluren	Launched	CFTR channel agonist|dystrophin stimulant	DMD
atazanavir	Launched	HIV protease inhibitor	
ATB-346	Phase 2	cyclooxygenase inhibitor	PTGER2
atenolol-(+/-)	Launched	adrenergic receptor antagonist	ADRB1|ADRB2
atenolol-(-)	Preclinical	adrenergic receptor antagonist	
atglistatin	Preclinical	adipose triglyceride lipase inhibitor	
atipamezole	Launched	adrenergic receptor antagonist	
atiprimod	Phase 2	JAK inhibitor|STAT inhibitor	JAK2|STAT3
atizoram	Phase 2	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D
ATN-161	Phase 2	integrin antagonist	ITGA5|ITGAV|ITGB1|ITGB3
atomoxetine	Launched	norepinephrine transporter inhibitor	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A3|SLC6A4
atorvastatin	Launched	HMGCR inhibitor	AHR|DPP4|HMGCR
atosiban	Launched	oxytocin receptor antagonist	AVPR1A|AVPR1B|AVPR2|OXTR
atovaquone	Launched	mitochondrial electron transport inhibitor	DHODH
ATPA	Preclinical	glutamate receptor agonist	GRIA2|GRIK1
atracurium	Launched	acetylcholine receptor antagonist	CHRNA2
atrasentan	Phase 3	endothelin receptor antagonist	EDNRA
atropine	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
atropine-oxide	Preclinical	acetylcholine receptor antagonist	
AT13148	Phase 1	protein kinase inhibitor	AKT1|AKT2|AKT3|ROCK1|ROCK2|SGK3
AT13387	Phase 2	HSP antagonist	HSP90AA1
AT7867	Preclinical	AKT inhibitor	AKT2|GSK3B|PKIA|PRKACA
auranofin	Launched	NFkB pathway inhibitor	IKBKB|PRDX5|TRPA1
aurora-a-inhibitor-i	Preclinical	Aurora kinase inhibitor	AURKA
aurothioglucose	Launched	PKC inhibitor	PRKCI
autotaxin-modulator-1	Preclinical	autotaxin inhibitor	ENPP2
AV-412	Phase 1	protein tyrosine kinase inhibitor	EGFR|ERBB2
AV-608	Phase 2	tachykinin antagonist	TACR1
avagacestat	Phase 2	gamma secretase inhibitor	PSEN1
avanafil	Launched	phosphodiesterase inhibitor	PDE5A
avasimibe	Phase 3	ACAT inhibitor	CES1
avatrombopag	Phase 3	thrombopoietin receptor agonist	MPL
AVE-0991	Preclinical	angiotensin receptor agonist	MRGPRX1
avibactam	Launched	beta lactamase inhibitor	
AVL-292	Phase 2	Bruton's tyrosine kinase (BTK) inhibitor	BTK|YES1
AVN-944	Phase 2	inosine monophosphate dehydrogenase inhibitor	IMPDH1|IMPDH2
avobenzone	Launched	UV blocker	TYR
avridine	Preclinical	immunostimulant	
axitinib	Launched	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1|FLT1|FLT4|KDR|PLK4
AY-9944	Preclinical	hedgehog pathway modulator	
AZ-10417808	Preclinical	caspase inhibitor	CASP3
AZ-628	Preclinical	RAF inhibitor	BRAF|RAF1
azacitidine	Launched	DNA methyltransferase inhibitor	DNMT1|DNMT3A
azacyclonol	Preclinical	histamine receptor antagonist	HRH1
azaguanine-8	Preclinical	purine antagonist	PNP
azalomycin-b	Preclinical	bacterial 50S ribosomal subunit inhibitor	
azaperone	Launched	dopamine receptor antagonist	DRD2|DRD3
azapropazone	Withdrawn	cyclooxygenase inhibitor	PTGS2
azaserine	Preclinical	purine antagonist	
azasetron	Launched	serotonin receptor antagonist	HTR3A|HTR3B
azatadine	Launched	histamine receptor antagonist	HRH1
azathioprine	Launched	dehydrogenase inhibitor	HPRT1|IMPDH1|PPAT
AZD1080	Phase 1	glycogen synthase kinase inhibitor	GSK3A|GSK3B
AZD1208	Phase 1	Pim kinase inhibitor	PIM1|PIM2|PIM3
AZD1283	Preclinical	purinergic receptor antagonist	P2RY12
AZD1446	Phase 2	acetylcholine receptor agonist	CHRNA4|CHRNB2
AZD1480	Phase 1	JAK inhibitor	JAK1|JAK2|JAK3
AZD1981	Phase 2	CRTH receptor antagonist	PTGDR2
AZD2014	Phase 2	mTOR inhibitor	MTOR
AZD2461	Phase 1	PARP inhibitor	
AZD2858	Preclinical	glycogen synthase kinase inhibitor	GSK3B
AZD3264	Preclinical	IKK inhibitor	IKBKB
AZD3463	Preclinical	ALK tyrosine kinase receptor inhibitor|insulin growth factor receptor inhibitor	ALK|IGF1R
AZD3514	Phase 1	androgen receptor modulator	AR
AZD3759	Phase 1	EGFR inhibitor	EGFR
AZD3839	Phase 1	beta-secretase inhibitor	BACE1
AZD3965	Phase 1	monocarboxylate transporter inhibitor	SLC16A1
AZD4282	Phase 1	glutamate receptor antagonist	AGXT|AGXT2|ALAS1|ALAS2|BAAT|GARS|GATM|GCAT|GCSH|GLDC|GLRA1|GLRA2|GLRA3|GLRB|GLYAT|GLYATL1|GLYATL2|GNMT|GPR18|GPRC6A|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3B|GSS|PIPOX|SHMT1|SHMT2|SLC32A1|SLC36A1|SLC6A5|SLC6A9
AZD4547	Phase 2/Phase 3	FGFR inhibitor	FGFR1|FGFR2|FGFR3|FGFR4|IGF1R|KDR
AZD5069	Phase 2	CC chemokine receptor antagonist	CXCR2
AZD5363	Phase 2	AKT inhibitor	AKT1|AKT2|AKT3
AZD5438	Phase 1	CDK inhibitor	KCNH2
AZD5582	Preclinical	XIAP inhibitor	BIRC2|BIRC3|XIAP
AZD6482	Phase 1	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG
AZD6738	Phase 1/Phase 2	ATR kinase inhibitor	ATR
AZD6765	Phase 2	glutamate receptor antagonist	GRIN1
AZD7545	Phase 1	pyruvate dehydrogenase kinase inhibitor	PDK1
AZD7687	Phase 1	diacylglycerol O acyltransferase inhibitor	DGAT1
AZD7762	Phase 1	CHK inhibitor	CHEK1|CHEK2
AZD8055	Phase 1	mTOR inhibitor	MTOR
AZD8186	Phase 1	PI3K inhibitor	PIK3CB|PIK3CD
AZD8330	Phase 1	MEK inhibitor	
AZD8835	Phase 1	PI3K inhibitor	PIK3CA|PIK3CD
AZD8931	Phase 2	EGFR inhibitor	EGFR|ERBB2|ERBB3
AZD9496	Phase 1	estrogen receptor agonist	ESR1
AZD9668	Phase 2	elastase inhibitor	ELANE
azelaic-acid	Launched	tyrosinase inhibitor	AKR1D1|SRD5A2|TYR
azelastine	Launched	histamine receptor antagonist	HRH1
azeliragon	Phase 3	RAGE receptor antagonist	AGER
azelnidipine	Launched	calcium channel blocker	CACNA1C
azilsartan	Launched	angiotensin receptor antagonist	AGTR1|AGTR2
azilsartan-medoxomil	Launched	angiotensin receptor antagonist	AGTR1|AGTR2
azimilide	Phase 3	potassium channel blocker	KCNA5|KCNE1|KCNH2|KCNQ1
azithromycin	Launched	bacterial 50S ribosomal subunit inhibitor	MLNR
azlocillin	Launched	bacterial cell wall synthesis inhibitor	
azodicarbonamide	Phase 2	DNA synthesis inhibitor	
azomycin-(2-nitroimidazole)	Preclinical	protein synthesis inhibitor	
azosemide	Launched	electrolyte reabsorption inhibitor	SLC12A1|SLC12A2
aztreonam	Launched	bacterial cell wall synthesis inhibitor	
AZ191	Preclinical	DYRK inhibitor	DYRK1B
AZ20	Preclinical	ATR kinase inhibitor	ATR|MTOR
AZ3146	Preclinical	monopolar spindle 1 kinase inhibitor	
AZ505	Preclinical	histone lysine methyltransferase inhibitor	SMYD2
AZ5104	Preclinical	EGFR inhibitor	EGFR
AZ960	Preclinical	JAK inhibitor	JAK2
A0001	Phase 2		
A205804	Preclinical	ICAM1 expression inhibitor	ICAM1|SELE
A61603	Preclinical	adrenergic receptor agonist	ADRA1A
A66	Preclinical	PI3K inhibitor	PIK3CA
A740003	Preclinical	purinergic receptor antagonist	P2RX7
A77636	Preclinical	dopamine receptor agonist	CALY
A922500	Preclinical	diacylglycerol O acyltransferase inhibitor	DGAT1
bacampicillin	Launched	bacterial cell wall synthesis inhibitor	
bacitracin	Launched	bacterial cell wall synthesis inhibitor	A2M|IDE
bacitracin-zinc	Launched	bacterial cell wall synthesis inhibitor	
baclofen	Launched	benzodiazepine receptor agonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8
baclofen-(R)	Preclinical	benzodiazepine receptor agonist	GABBR1|GABBR2
BADGE	Preclinical	PPAR receptor antagonist	PPARG
bafetinib	Phase 2	Bcr-Abl kinase inhibitor|LYN tyrosine kinase inhibitor	ABL1|BCR|LYN
baicalein	Preclinical	lipoxygenase inhibitor	ALOX5|GLO1|PREP|SELL|SELP|TNF|XDH
baicalin	Launched	beta glucuronidase inhibitor	PREP
bakuchiol	Phase 2	DNA polymerase inhibitor	HIF1A
balaglitazone	Phase 3	insulin sensitizer|PPAR receptor partial agonist	PPARG
balapiravir	Phase 2	RNA polymerase inhibitor	
balicatib	Phase 2	cathepsin inhibitor	CTSK
balofloxacin	Launched	bacterial DNA gyrase inhibitor	
balsalazide	Launched	cyclooxygenase inhibitor	ALOX5|PPARG|PTGS1|PTGS2
bambuterol	Launched	adrenergic receptor agonist	ADRB2|BCHE
BAM7	Preclinical	BAX activator	BAX
BAN-ORL-24	Preclinical	nociceptin/orphanin FQ receptor antagonist	OPRL1
barasertib	Phase 2/Phase 3	Aurora kinase inhibitor	AURKA|AURKB
barasertib-HQPA	Phase 2/Phase 3	Aurora kinase inhibitor	AURKB
barbital	Launched	sedative	CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GRIA2|GRIK2
bardoxolone	Phase 1	nuclear factor erythroid derived|like (NRF2) activator	NOS2|PPARG
bardoxolone-methyl	Phase 3	nuclear factor erythroid derived|like (NRF2) activator	PPARG|STAT3
baricitinib	Phase 3	JAK inhibitor	JAK1|JAK2
barnidipine	Launched	calcium channel blocker	
basic-fuchsin	Preclinical		
basimglurant	Phase 2	glutamate receptor antagonist	GRM5
batimastat	Phase 3	matrix metalloprotease inhibitor	ADAM28|ADAMTS5|MMP12|MMP16|MMP2|MMP8
bavisant	Phase 2	histamine receptor antagonist	HRH3
BAX-channel-blocker	Preclinical	cytochrome C release inhibitor	BAX
BAY-K-8644-(+/-)	Preclinical	L-type calcium channel activator	
BAY-K-8644-(s)-(-)	Preclinical	L-type calcium channel activator	CACNA1C
bay-w-9798	Phase 2	antioxidant	
BAY-11-7082	Preclinical	NFkB pathway inhibitor	RELA
BAY-11-7085	Preclinical	NFkB pathway inhibitor	NFKBIA
bay-60-7550	Preclinical	phosphodiesterase inhibitor	PDE2A
BAY-61-3606	Preclinical	syk inhibitor	SYK
BAY-85-8050	Phase 1		
BAY-87-2243	Phase 1	hypoxia inducible factor inhibitor	HIF1A
bazedoxifene	Launched	selective estrogen receptor modulator (SERM)	ESR1|ESR2
BCI-540	Phase 2	glutamate receptor agonist	
BCX-1470	Phase 1	serine protease inhibitor|complement inhibitor	CFD
BD-1008	Preclinical	sigma receptor antagonist	
BD-1047	Preclinical	adrenergic receptor antagonist	SIGMAR1
BD-1063	Preclinical	sigma receptor antagonist	SIGMAR1
BE-2254	Phase 2	adrenergic receptor antagonist	ADRA1A
beclamide	Launched	anticonvulsant	
beclomethasone	Launched	glucocorticoid receptor agonist	NR3C1|SERPINA6
beclomethasone-dipropionate	Launched	glucocorticoid receptor agonist	GPR97|NR3C1
bedaquiline	Launched	ATPase inhibitor	
befuraline	Phase 2		
begacestat	Phase 1	gamma secretase inhibitor	PSEN1
bekanamycin	Launched	bacterial 30S ribosomal subunit inhibitor	
belinostat	Launched	HDAC inhibitor	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
bemegride	Launched	chemoreceptor agonist	GABRA1
bemesetron	Phase 3	serotonin receptor antagonist	HTR3A|HTR3B
bemotrizinol	Launched		
benaxibine	Phase 1		
benazepril	Launched	angiotensin converting enzyme inhibitor	ACE
bendamustine	Launched	DNA inhibitor	
bendazac	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
bendroflumethiazide	Launched	sodium/potassium/chloride transporter inhibitor	CA1|CA2|CA4|KCNMA1|SLC12A1|SLC12A3
benethamine	Preclinical		
benfluorex	Withdrawn	gluconeogenesis inhibitor	HMGCR
benfluralin	Phase 3		CYP1A1|CYP1A2|CYP2B6|CYP3A4|ESR1|MMP1|SULT2A1|UGT1A1
benfotiamine	Launched	antioxidant	AGER
benidipine	Launched	calcium channel blocker	CACNA1C|CACNA1G
benperidol	Launched	dopamine receptor antagonist	DRD2
benproperine	Launched	antitussive	SCN5A
benserazide	Launched	DOPA decarboxylase inhibitor	DDC
bentazepam	Launched	benzodiazepine receptor agonist	
bentiromide	Launched		HPN
benurestat	Phase 1	urease inhibitor	
benzalkonium	Launched	Cationic surfactant	
benzamil	Phase 2	sodium channel blocker	ASIC1|PKD2L1|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC8A1
benzbromarone	Launched	chloride channel blocker	ABCC1
benzethonium	Launched	sodium channel blocker	SCN10A
benznidazole	Launched	DNA synthesis inhibitor	
benzo[d]thiazole-2(3h)-thione	Phase 1		
benzocaine	Launched	sodium channel blocker	SCN10A
benzoclidine	Preclinical		
benzofenac	Phase 1		
benzoic-acid	Launched	food preservative	DAO|HRSP12|PRDX5|RAB9A
benzoin	Preclinical		CES1
benzonatate	Launched	local anesthetic	SCN5A
benzoquinonium-dibromide	Preclinical	cholinergic receptor antagonist	CHRNA1
benzotript	Phase 1	CCK receptor antagonist	CCKAR|CCKBR
benzoxiquine	Preclinical	antiinfective drug	
benzoyl-peroxide	Launched	oxidizing agent	
benzoylpas	Preclinical		
benzthiazide	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA2|CA4|CA9|SLC12A3
benztropine-mesylate	Launched	acetylcholine receptor antagonist	CHRM1|HRH1|SLC6A3
benzydamine	Launched	prostanoid receptor antagonist	
benzyl-alcohol	Launched	local anesthetic	
benzyl-benzoate	Launched	lipase inhibitor	LIPE
benzyl-isothiocyanate	Preclinical	methylazoxymethanol acetate inhibitor	
benzyldimethylhexadecylammonium	Preclinical	cationic surfactant	
benzyldimethyloctylammonium	Preclinical		
benzylpenicillin	Launched	penicillin binding protein inhibitor	
bephenium-hydroxynaphthoate	Launched	anthelmintic agent	
bepotastine	Launched	histamine receptor antagonist	HRH1
bepridil	Launched	calcium channel blocker	ATP1A1|CACNA1A|CACNA1H|CACNA2D2|CALM1|KCNQ1|KCNQ4|PDE1A|PDE1B|TNNC1
berberine	Phase 2/Phase 3	LDL receptor activator	LDLR
bergapten	Preclinical		
bergenin	Preclinical	interleukin inhibitor	IL1B|TNF
besifloxacin	Launched	bacterial DNA gyrase inhibitor	
BET-BAY-002	Preclinical	bromodomain inhibitor	
beta-amyloid-synthesis-inhibitor	Preclinical	beta amyloid synthesis inhibitor	APP
beta-carotene	Launched		
beta-CCB	Launched	benzodiazepine receptor ligand	GABRA1|GABRG2
beta-elemene	Launched	apoptosis stimulant	MMP2|MMP9
beta-funaltrexamine	Preclinical	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
beta-glycerophosphoric-acid	Preclinical		
beta-hydroxy-beta-methylbutyrate	Phase 2/Phase 3	protein synthesis stimulant	MTOR
beta-Hydroxybutyrate	Phase 1		HCAR2
beta-lapachone	Phase 2	topoisomerase inhibitor	TOP1
beta-naphthol	Preclinical		
betahistine	Launched	histamine receptor agonist|histamine receptor antagonist	HRH1|HRH3
betaine	Launched	nitric oxide donor	
betamethasone	Launched	glucocorticoid receptor agonist	NR3C1
betamethasone-acetate	Launched	glucocorticoid receptor agonist	NR3C1
betamethasone-dipropionate	Launched	anti-inflammatory agent	
betamethasone-valerate	Launched	glucocorticoid receptor agonist	NR3C1
betamipron	Launched	panipenem uptake inhibitor	
betaxolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2
betazole	Launched	histamine receptor agonist	HRH2
bethanechol	Launched	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4
betrixaban	Phase 3	coagulation factor inhibitor	KCNH2
betulinic-acid	Phase 1/Phase 2	apoptosis stimulant|NFkB pathway inhibitor	GPBAR1
bevantolol	Launched	adrenergic receptor antagonist	ADRA1A|ADRB1|ADRB2
bevirimat-dimeglumine	Phase 2	HIV capsid assembly inhibitor	
bexarotene	Launched	retinoid receptor agonist	RXRA|RXRB|RXRG
bezafibrate	Launched	PPAR receptor agonist	PPARA|PPARD|PPARG
BF2.649	Phase 3	histamine receptor antagonist	HRH3
BGT226	Phase 1/Phase 2	PI3K inhibitor	MTOR|PIK3CA|PIK3CB|PIK3CG
BHQ	Preclinical	ATPase inhibitor	ATP2A1
BI-D1870	Preclinical	ribosomal protein inhibitor	RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6
BI-224436	Phase 1	HIV integrase inhibitor	
BI-2536	Phase 2	PLK inhibitor	BRD4|PLK1|PLK2|PLK3
BI-78D3	Preclinical	JNK inhibitor	MAPK8
BI-847325	Phase 1	MEK inhibitor|Aurora kinase inhibitor	AURKA|AURKB|AURKC|MAP2K1|MAP2K2
biapenem	Launched	bacterial cell wall synthesis inhibitor	
BIBN4096	Phase 2	calcitonin antagonist	CALCA|CALCRL|RAMP1
BIBR-1532	Preclinical	telomerase inhibitor	TERT
BIBU-1361	Preclinical	EGFR inhibitor	EGFR
BIBX-1382	Phase 1	EGFR inhibitor	EGFR|ERBB2
bicalutamide	Launched	androgen receptor antagonist	AR
bicuculline-(+)	Preclinical	GABA receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|KCNN1
bicuculline-methochloride-(-)	Preclinical	GABA receptor antagonist	
bicyclol	Launched	NFkB pathway inhibitor	HSPA1A|HSPB1
bifemelane	Launched	acetylcholine release enhancer	MAOA|MAOB
bifendate	Launched		
bifonazole	Launched	sterol demethylase inhibitor	CYP2B6
BIIB021	Phase 2	HSP inhibitor	HSP90AA1
bilastine	Launched	histamine receptor antagonist	HRH1
bilobalide	Preclinical	GABA receptor modulator	GLRA1|GLRA2|GLRB|HTR3A|HTR3B
bimatoprost	Launched	prostanoid receptor agonist	AKR1C3|PTGER1|PTGER3|PTGFR
bindarit	Phase 2	NFkB pathway inhibitor	CCL2|CCL7|CCL8
BIO-1211	Phase 2	integrin antagonist	ITGA4|ITGB1
biotin	Launched	vitamin B	ACACA|ACACB|HLCS|MCCC1|MCCC2|PC|PCCA|PCCB|SLC5A6
bipenamol	Phase 2	dipeptidyl peptidase inhibitor	CTSC
biperiden	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2
birinapant	Phase 2	XIAP inhibitor	BIRC2|XIAP
bis(maltolato)oxovanadium(IV)	Phase 2	tyrosine phosphatase inhibitor	PTPN1
bisacodyl	Launched	laxative	
bisindolylmaleimide-ix	Preclinical	PKC inhibitor	AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SIRT1
bismuth(iii)-trifluoromethanesulfonate	Preclinical	direct substitution catalyst	
bismuth-oxalate	Preclinical		
bismuth-subcitrate-potassium	Launched		
bismuth-subgallate	Launched	nitric oxide synthase inhibitor	NOS1
bismuth-subsalicylate	Launched	antacid	
bisoctrizole	Phase 2		
bisoprolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2
bisphenol-a	Phase 1	synthetic estrogen	AR|ESR1|ESR2|ESRRG|PPARG
bithionol	Withdrawn	autotaxin inhibitor	ESR1|ESR2|MCL1
bitopertin	Phase 3	glycine transporter inhibitor|GlyT-1 inhibitor	SLC6A5|SLC6A9
bitoscanate	Preclinical	anthelmintic agent	
bivalirudin	Launched	thrombin inhibitor	F2
BIX-01294	Preclinical	histone lysine methyltransferase inhibitor	EHMT1|EHMT2
BIX-02188	Preclinical	MEK inhibitor	MAP2K5
BIX-02189	Preclinical	MEK inhibitor	MAP2K5|MAPK7
BL-5583	Preclinical	hypercalcaemic agent	
blebbistatin-(+/-)	Preclinical	ATPase inhibitor	MYH2
blebbistatin-(-)	Preclinical	ATPase inhibitor	
bleomycetin	Phase 2	EGFR expression inhibitor	
bleomycin	Launched	DNA synthesis inhibitor	LIG1|LIG3
blonanserin	Launched	dopamine receptor antagonist|serotonin receptor antagonist	DRD2|HTR2A
BLU9931	Preclinical	FGFR inhibitor	FGFR4
BML-190	Preclinical	cannabinoid receptor inverse agonist	CNR2
BML-284	Preclinical	WNT agonist	
BMS-182874	Phase 2	endothelin receptor antagonist	EDNRA
BMS-191011	Preclinical	potassium channel activator	KCNMA1
BMS-191095	Phase 1	KATP activator|potassium channel agonist	
BMS-265246	Preclinical	CDK inhibitor	CDK1|CDK2
BMS-299897	Phase 1	gamma secretase inhibitor	
BMS-345541	Preclinical	IKK inhibitor	CHUK|IKBKB
BMS-387032	Phase 1	CDK inhibitor|cell cycle inhibitor|MCL1 inhibitor	CDK2|CDK7|CDK9
BMS-536924	Preclinical	IGF-1 inhibitor	AKT1|CCNE1|CDK2|CYP3A4|ERBB2|IGF1R|KDR|LCK|MAPK1|MET|PDGFRA|PDGFRB
BMS-587101	Phase 2	integrin antagonist	ITGAL|ITGB2
BMS-599626	Phase 1	EGFR inhibitor|protein tyrosine kinase inhibitor	EGFR|ERBB2|ERBB4
BMS-626529	Phase 3	HIV attachment inhibitor	
BMS-649	Preclinical	retinoid receptor agonist	RXRA
