!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	3/24/2020				
!Table_name	drug information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
aminopentamide	Launched	acetylcholine receptor antagonist	CHRM1	gastroenterology	acute abdominal visceral spasm|hypertrophic gastritis (GHG)|nausea
aminophylline	Launched	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3|HDAC2|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A	pulmonary	asthma|bronchitis|emphysema
aminopterin	Phase 3	dihydrofolate reductase inhibitor	DHFR|SLC46A1		
aminopurvalanol-a	Preclinical	CDK inhibitor|tyrosine kinase inhibitor	CDK1|CDK2|CDK5		
aminosalicylate	Launched	cyclooxygenase inhibitor	ALOX5|CHUK|PLA2G2E|PTGS1|PTGS2	gastroenterology	inflammatory bowel disease|ulcerative colitis
aminothiadiazole	Phase 2	inosine monophosphate dehydrogenase inhibitor	ADORA3|IMPDH1		
aminothiazole	Preclinical	cyclin D inhibitor	NOS2		
amiodarone	Launched	potassium channel blocker	ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2	cardiology	ventricular arrhythmias
amiprilose	Phase 3	CD antagonist			
amiselimod	Phase 2	sphingosine 1-phosphate receptor modulator			
amisulpride	Launched	dopamine receptor antagonist	DRD2	neurology/psychiatry	psychosis|bipolar disorder|schizophrenia
amitifadine	Phase 3	serotonin transporter (SERT) inhibitor	SLC6A2|SLC6A3|SLC6A4		
amitraz	Launched	adrenergic receptor agonist	ADRA1A|ADRA2A	infectious disease	generalized demodicosis
amitriptyline	Launched	norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI)	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4	neurology/psychiatry	depression
amlexanox	Launched	histamine receptor modulator	FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13	dental|pulmonary|ophthalmology|allergy	aphthous ulcers|asthma|conjunctivitis|allergic rhinitis
amlodipine	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1	cardiology	hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD)
ammonium-glycyrrhizinate	Launched	thrombin inhibitor	HSD11B1|HSD11B2|SLCO1B1|SLCO1B3	dermatology	cosmetic
ammonium-lactate	Launched		HCAR1	dermatology	xerosis cutis|ichthyosis vulgaris
ammonium-perfluorocaprylate	Phase 1	Pim kinase inhibitor	PIM1		
AMN-082	Preclinical	glutamate receptor modulator	GRM7		
amodiaquine	Launched	histamine receptor agonist	HNMT	infectious disease	malaria
amonafide	Phase 3	topoisomerase inhibitor	TOP2A|TOP2B		
amorolfine	Launched	membrane integrity inhibitor		infectious disease	onychomycosis
amoxapine	Launched	norepinephrine reputake inhibitor	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	depression
amoxicillin	Launched	penicillin binding protein inhibitor	CYP2C19|SLC15A1|SLC15A2|SLC22A6	infectious disease|gastroenterology	skin infections|duodenal ulcer disease|gonorrhea|ear infections|throat infections|genitourinary tract infections|respiratory tract infections
AMPA-(RS)	Preclinical	glutamate receptor agonist	GRIN1		
AMPA-(S)	Preclinical	glutamate receptor agonist	GRIA2|GRIN1		
ampalex	Phase 2	glutamate receptor agonist	GRIA1|GRIA2|GRIA3|GRIA4		
amperozide	Launched	dopamine receptor antagonist	FAAH|HTR2A	neurology/psychiatry	psychosis
amphotericin-b	Launched	membrane permeability enhancer		infectious disease	fungal infection
ampicillin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	respiratory tract infections|meningitis|bacterial septicemia|endocarditis|urinary tract infections|gastrointestinal infections
ampiroxicam	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	neurology/psychiatry	pain relief
amprenavir	Launched	HIV protease inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
amprolium	Launched	thiamine uptake blocker		infectious disease	coccidiosis
ampyrone	Preclinical	cyclooxygenase inhibitor			
amrinone	Launched	phosphodiesterase inhibitor	PDE3A|PDE3B|PDE4B|TNF	cardiology	congestive heart failure
amrubicin	Launched	topoisomerase inhibitor	TOP2A|TOP2B	oncology	small cell lung cancer
amsacrine	Launched	topoisomerase inhibitor	KCNH2|TOP2A	hematologic malignancy	acute lymphoblastic leukemia (ALL)
amthamine	Preclinical	histamine receptor agonist	HRH2		
amtolmetin-guacil	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	rheumatology	rheumatoid arthritis|osteoarthritis
amuvatinib	Phase 2	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor	KIT|MET		
amygdalin	Phase 2	caspase activator	CASP3		
amyl-nitrite	Preclinical	atrial natriuretic peptide receptor agonist			
amyleine	Preclinical	local anesthetic			
amylene-hydrate	Preclinical	local anesthetic			
AMZ30	Preclinical	protein phosphatase inhibitor			
AM095	Preclinical	lysophosphatidic acid receptor antagonist			
AM211	Preclinical	prostaglandin inhibitor			
AM679	Preclinical	cannabinoid receptor agonist|lipoxygenase inhibitor	ALOX5AP|CNR1|CNR2		
ANA-12	Preclinical	tropomyosin receptor kinase inhibitor	NTRK2		
anabasine	Preclinical	acetylcholine receptor agonist			
anacetrapib	Phase 3	cholesteryl ester transfer protein inhibitor	CETP		
anagliptin	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
anagrelide	Launched	phosphodiesterase inhibitor	PDE3A	hematology|hematologic malignancy	thrombocythemia|myeloproliferative neoplasms
anamorelin	Phase 3	growth hormone secretagogue receptor agonist	GHSR		
anandamide	Phase 2	cannabinoid receptor agonist	CACNA1G|CACNA1H|CACNA1I|CNR1|CNR2|GLRA1|GPR18|GPR55|KCNA2|KCNK3|KCNK9|TRPM8|TRPV1		
anastrozole	Launched	aromatase inhibitor	CYP19A1	oncology	breast cancer
andarine	Phase 1	androgen receptor modulator	AR		
andrographolide	Phase 2	tumor necrosis factor production inhibitor	IL1B|IL6|NFKB1|NFKB2|TNF		
androstenone	Preclinical	steroid			
androsterone	Preclinical	androgen receptor agonist			
anecortave-acetate	Launched	angiogenesis inhibitor		ophthalmology	macular degeneration
anethole	Launched	glutathione transferase stimulant			
anethole-trithione	Launched	glutathione transferase stimulant		dental	xerostomia
anguidine	Phase 2	protein synthesis inhibitor	SLC5A1		
anidulafungin	Launched	"fungal 1,3-beta-D-glucan synthase inhibitor"		infectious disease	candidemia|fungal infection|esophageal candidiasis
aniracetam	Launched	glutamate receptor agonist	DRD2|GRIA1|GRIA2|GRIA3|GRIA4|HTR2A		
anisindione	Launched	vitamin K antagonist	GGCX	hematology	deep vein thrombosis (DVT)
anisodamine	Phase 3	lipid peroxidase inhibitor	ADRA1A		
anisomycin	Preclinical	DNA synthesis inhibitor	NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1		
anisotropine	Launched	acetylcholine receptor antagonist		gastroenterology	peptic ulcer disease (PUD)
anlotinib	Launched	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	KDR|PDGFRB		
anpirtoline	Phase 1	serotonin receptor agonist	HTR1B		
ANR-94	Preclinical	adenosine receptor antagonist	ADORA2A		
ansamitocin-p-3	Preclinical	apoptosis stimulant			
antagonist-g	Phase 1	neuropeptide receptor antagonist	MAPK8		
antalarmin	Preclinical	corticotropin releasing factor receptor antagonist	CRHR1		
antazoline	Launched	antihistamine	HRH1	ophthalmology|otolaryngology	conjunctivitis|nasal congestion
anthralin	Launched	DNA synthesis inhibitor		dermatology	psoriasis
anthraquinone	Preclinical	CDC inhibitor	CDC25B		
antimony-potassium	Phase 2				
antimonyl	Phase 1				
antimycin-A	Preclinical	ATP synthase inhibitor	CYCS		
antioxine	Launched				
AN2718	Phase 1	leucyl-tRNA synthetase inhibitor			
AP-18	Preclinical	transient receptor potential channel antagonist	TRPA1		
apabetalone	Phase 3	apolipoprotein expression enhancer	BRD3		
apafant	Phase 3	platelet activating factor receptor antagonist	PTAFR		
apalutamide	Launched	androgen receptor antagonist		oncology	prostate cancer
apararenone	Preclinical	mineralocorticoid receptor antagonist			
apatinib	Phase 3	RET tyrosine kinase inhibitor	CSK|KDR|KIT|RET		
APC-100	Phase 1/Phase 2	androgen receptor antagonist|anti-inflammatory agent	AR		
APcK-110	Preclinical	KIT inhibitor	KIT|STAT3		
APD597	Phase 1	glucose dependent insulinotropic receptor agonist	GPR119		
APD668	Phase 1	glucose dependent insulinotropic receptor agonist	GPR119		
aphidicolin	Phase 1	RNA synthesis inhibitor			
API-001	Phase 2	sigma receptor antagonist	SIGMAR1		
API-1	Preclinical	AKT inhibitor	AKT1|AKT2|AKT3		
apigenin	Preclinical	casein kinase inhibitor|cell proliferation inhibitor	AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1		
apixaban	Launched	coagulation factor inhibitor	F10	neurology/psychiatry|hematology|cardiology	stroke|systemic embolism|pulmonary embolism (PE)|atrial fibrillation (AF)|deep vein thrombosis (DVT)
apocynin	Phase 1	NADPH oxidase inhibitor	NOX4		
apoptosis-activator-II	Preclinical	carboxylesterase inhibitor	BCHE|CES1		
APR-246	Phase 3	p53 activator	TP53		
apraclonidine	Launched	adrenergic receptor agonist	ADRA1A|ADRA2A|ADRA2B|ADRA2C	ophthalmology	glaucoma|intraocular pressure
apramycin	Launched	bacterial 30S ribosomal subunit inhibitor		infectious disease	gram-negative bacterial infections
apratastat	Phase 2	matrix metalloprotease inhibitor|tumor necrosis factor production inhibitor	ADAM17|MMP1|MMP13|MMP9		
apremilast	Launched	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D	dermatology|rheumatology	psoriasis|psoriatic arthritis
aprepitant	Launched	tachykinin antagonist	TACR1	gastroenterology	nausea|vomiting
apricitabine	Phase 3	nucleoside reverse transcriptase inhibitor			
aprindine	Launched	voltage-gated sodium channel blocker	CALM1|SCN5A	cardiology	cardiac arrythmia
apronal	Preclinical	cytochrome P450 modulator			
aptiganel	Phase 3	glutamate receptor antagonist	GRIN1		
APTO-253	Phase 1	krüppel-like factor expression enhancer	KLF4		
APY-29	Preclinical	serine/threonine kinase inhibitor	ERN1		
apyramide	Preclinical	cyclooxygenase inhibitor			
APY0201	Preclinical	phosphoinositide dependent kinase inhibitor	IL12A|IL12B|PIKFYVE		
AP1903	Phase 1/Phase 2		MTOR		
AP26113	Phase 2	ALK tyrosine kinase receptor inhibitor	ALK|EGFR		
AQ-RA741	Preclinical	acetylcholine receptor antagonist	CHRM2		
AQ-13	Phase 2	antimalarial agent			
AQW-051	Preclinical	nicotinic receptor agonist			
AR-A014418	Preclinical	glycogen synthase kinase inhibitor	GSK3B		
AR-C155858	Preclinical	monocarboxylate transporter inhibitor	SLC16A1|SLC16A7		
AR-12	Phase 1	phosphoinositide dependent kinase inhibitor	PDPK1		
AR-42	Phase 1	HDAC inhibitor	HDAC1		
arachidonic-acid	Phase 1	cytochrome P450 inhibitor	CLCN2|KCNJ4|KCNK10|KCNK18|KCNK2|PRKCZ|PTGS1|TRPC6|TRPM2		
aramchol	Phase 2/Phase 3	stearoyl-CoA desaturase inhibitor			
arbidol	Launched	cytochrome P450 inhibitor	CYP3A4	infectious disease	influenza A virus infection
arbutin	Phase 2/Phase 3	melanin inhibitor	TYR		
ARC-239	Preclinical	adrenergic receptor antagonist	ADRA2A|ADRA2B|ADRA2C		
arctigenin	Preclinical	MEK inhibitor	CHUK|MAP2K1		
arcyriaflavin-a	Preclinical	CDK inhibitor	CCND1|CDK4		
ardeparin	Withdrawn	thrombin inhibitor	SERPIND1		
arecaidine-but-2-ynyl-ester	Preclinical	acetylcholine receptor agonist	CHRM2		
arecaidine-propargyl-ester	Preclinical	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4		
arecoline	Phase 1	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4		
argatroban	Launched	thrombin inhibitor	F2	hematology	heparin-induced thrombocytopenia (HIT)
argireline	Phase 3	neurotransmitter release inhibitor			
arglabin	Launched	farnesyltransferase inhibitor	FNTA|NFKB1		
aripiprazole	Launched	serotonin receptor agonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7	neurology/psychiatry	depression|schizophrenia|bipolar disorder
aripiprazole-lauroxil	Launched	serotonin receptor agonist		neurology/psychiatry	schizophrenia
arofylline	Phase 3	phosphodiesterase inhibitor	PDE4A		
arotinolol	Launched	adrenergic receptor antagonist	ADRB3	cardiology|neurology/psychiatry	hypertension|tremors
ARQ-092	Phase 1	AKT inhibitor	AKT2		
ARQ-621	Phase 1	kinesin-like spindle protein inhibitor	KIF11		
ARRY-334543	Phase 2/Phase 3	EGFR inhibitor	ERBB2		
arsanilic-acid	Phase 1		LYZ		
arsenic-trioxide	Launched	apoptosis stimulant	AKT1|CCND1|IKBKB|JUN|MAPK1|MAPK3|TXNRD1	gastroenterology	diarrhea
artemether	Launched	antimalarial agent	ATP1A1	infectious disease	malaria
artemisinin	Launched	DNA synthesis inhibitor	CYP2B6	infectious disease	malaria
artemotil	Launched			infectious disease	malaria
artesunate	Launched	DNA synthesis inhibitor		infectious disease	malaria
articaine	Launched	local anesthetic		neurology/psychiatry	local anesthetic
arundic-acid	Phase 2/Phase 3	astrocyte modulating agent	PTGS2|S100B		
ARV-825	Preclinical	bromodomain inhibitor	BRD4		
AS-1269574	Preclinical	glucose dependent insulinotropic receptor agonist	GPR119		
AS-1892802	Preclinical	rho associated kinase inhibitor	ROCK1		
AS-1949490	Preclinical	SHIP2 phosphatase inhibitor	INPP5D		
AS-2034178	Preclinical	free fatty acid receptor agonist	FFAR1		
AS-2444697	Preclinical	interleukin inhibitor	IRAK4		
AS-252424	Preclinical	PI3K inhibitor	PIK3CG		
AS-604850	Preclinical	PI3K inhibitor	PIK3CA|PIK3CG		
AS-703026	Phase 2	MEK inhibitor	MAP2K1|MAP2K2		
AS-77	Phase 1	potassium channel blocker	KCNA3|KCNA5|KCNN4		
ASA-404	Phase 3	angiogenesis inhibitor			
asapiprant	Preclinical	prostaglandin inhibitor			
asaraldehyde	Preclinical	cyclooxygenase inhibitor	PTGS2		
ASC-J9	Phase 2	androgen receptor enhancer	AR		
asciminib	Phase 2	Bcr-Abl kinase inhibitor			
ascomycin	Preclinical	calcineurin inhibitor	FKBP1A		
ascorbic-acid	Launched	antioxidant	SLC23A1|SLC23A2	endocrinology	scurvy
asenapine	Launched	dopamine receptor antagonist|serotonin receptor antagonist	DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A	neurology/psychiatry	schizophrenia|bipolar disorder
asiatic-acid	Preclinical	apoptosis stimulant	PYGM		
asimadoline	Phase 3	opioid receptor agonist	OPRK1		
asivatrep	Phase 3	transient receptor potential channel antagonist			
ASP-2535	Phase 1	glycine transporter inhibitor	SLC6A9		
ASP-6537	Preclinical	cyclooxygenase inhibitor			
ASP-9521	Preclinical	aldo-keto reductase inhibitor			
aspartame	Launched		TAS1R2|TRPV1		
aspirin	Launched	cyclooxygenase inhibitor	AKR1C1|ASIC3|EDNRA|HSPA5|IKBKB|NFKB1|NFKB2|NFKBIA|PRKAA1|PRKAA2|PRKAB1|PRKAB2|PRKAG1|PRKAG2|PRKAG3|PTGS1|PTGS2|RPS6KA3|TP53	neurology/psychiatry|endocrinology|dental	headache|fever|toothache|muscle pain
ASP3026	Phase 1	ALK tyrosine kinase receptor inhibitor	ALK		
AST-1306	Phase 1	EGFR inhibitor	EGFR|ERBB2		
astaxanthin	Launched	antioxidant			
astemizole	Withdrawn	histamine receptor antagonist	HRH1|KCNH1|KCNH2		
astilbin	Preclinical	nuclear factor erythroid derived|like (NRF2) activator			
astragaloside-a	Preclinical	anti-inflammatory agent			
ASTX660	Phase 1/Phase 2	apoptosis inhibitor			
asunaprevir	Phase 3	HCV inhibitor			
asymmetrical-dimethylarginine	Phase 1	nitric oxide synthase inhibitor	NOS2|NOS3		
AT-1015	Preclinical	serotonin receptor antagonist	HTR2A		
AT-406	Phase 1	IAP antagonist 			
AT-7519	Phase 2	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK9		
AT-9283	Phase 2	Aurora kinase inhibitor|JAK inhibitor	AURKA|AURKB|JAK2|JAK3|RPS6KA6|STK17A		
ataluren	Launched	CFTR channel agonist|dystrophin stimulant	DMD	genetics|pulmonary	duchenne muscular dystrophy (DMD)|cystic fibrosis
atazanavir	Launched	HIV protease inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
ATB-346	Phase 2	cyclooxygenase inhibitor	PTGER2		
atenolol-(+)	Preclinical	adrenergic receptor antagonist			
atenolol-(+/-)	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|LTF|PLA2G2E	cardiology	hypertension|angina pectoris
atenolol-(-)	Launched	adrenergic receptor antagonist		cardiology	hypertension
atglistatin	Preclinical	adipose triglyceride lipase inhibitor			
aticaprant	Phase 2	opioid receptor antagonist			
atipamezole	Launched	adrenergic receptor antagonist		neurology/psychiatry	reverse sedative
atiprimod	Phase 2	JAK inhibitor|STAT inhibitor	JAK2|STAT3		
atizoram	Phase 2	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D		
ATN-161	Phase 2	integrin antagonist	ITGA5|ITGAV|ITGB1|ITGB3		
atomoxetine	Launched	norepinephrine transporter inhibitor	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	attention-deficit/hyperactivity disorder (ADHD)
atorvastatin	Launched	HMGCR inhibitor	AHR|DPP4|HMGCR	neurology/psychiatry|cardiology	stroke|heart attack
atosiban	Launched	oxytocin receptor antagonist	AVPR1A|AVPR1B|AVPR2|OXTR	neurology/psychiatry|cardiology|endocrinology	stroke|angina pectoris|myocardial infarction|hyperlipidemia
atovaquone	Launched	mitochondrial electron transport inhibitor		infectious disease	pneumonia
ATPA	Preclinical	glutamate receptor agonist	GRIK1		
atractylenolide-i	Preclinical	JAK inhibitor			
atracurium	Launched	acetylcholine receptor antagonist		critical care|neurology/psychiatry	endotracheal intubation|muscle relaxant
atrasentan	Phase 3	endothelin receptor antagonist	EDNRA		
atropine	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3	ophthalmology	cycloplegia|mydriasis|amblyopia
atropine-oxide	Preclinical	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5		
atuveciclib	Phase 1	CDK9 inhibitor			
AT13148	Phase 1	protein kinase inhibitor	AKT1|AKT2|AKT3|ROCK1|ROCK2|SGK3		
AT13387	Phase 2	HSP inhibitor	HSP90AA1		
AT7867	Preclinical	AKT inhibitor	AKT2|GSK3B|PKIA|PRKACA		
auranofin	Launched	NFkB pathway inhibitor	IKBKB|PRDX5|TRPA1	rheumatology	rheumatoid arthritis
aurora-a-inhibitor-i	Preclinical	Aurora kinase inhibitor	AURKA		
aurothioglucose	Launched	PKC inhibitor	PRKCI	rheumatology	rheumatoid arthritis
AUT-1	Preclinical	potassium channel activator			
autotaxin-modulator-1	Preclinical	autotaxin inhibitor	ENPP2		
AV-412	Phase 1	protein tyrosine kinase inhibitor	EGFR|ERBB2		
AV-608	Phase 2	tachykinin antagonist	TACR1		
avacopan	Phase 2	complement inhibitor			
avadomide	Phase 2	antitumor agent			
avagacestat	Phase 2	gamma secretase inhibitor	PSEN1		
avanafil	Launched	phosphodiesterase inhibitor	PDE5A	urology	erectile dysfunction
avapritinib	Launched	KIT inhibitor			
avasimibe	Phase 3	ACAT inhibitor	CES1		
avatrombopag	Launched	thrombopoietin receptor agonist	MPL	hematology	thrombocytopenia
AVE-0991	Preclinical	angiotensin receptor agonist	MRGPRX1		
AVE-3085	Preclinical	nitric oxide synthase stimulant			
AVex-73	Preclinical	sigma receptor agonist			
avibactam	Launched	beta lactamase inhibitor		infectious disease	intra-abdominal infections|urinary tract infections|pyelonephritis
avitinib	Phase 2	EGFR inhibitor			
AVL-292	Phase 2	Bruton's tyrosine kinase (BTK) inhibitor	BTK|YES1		
AVN-492	Preclinical	serotonin receptor antagonist			
AVN-944	Phase 2	inosine monophosphate dehydrogenase inhibitor	IMPDH1|IMPDH2		
avobenzone	Launched	topical sunscreen agent		dermatology	cosmetic|sunscreen lotion
avoralstat	Phase 3	kallikrein inhibitor			
avridine	Preclinical	immunostimulant			
AX-024	Preclinical	cytokine production inhibitor			
axitinib	Launched	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1|FLT1|FLT4|KDR|PLK4	oncology	renal cell carcinoma (RCC)
AY-9944	Preclinical	hedgehog pathway modulator			
AZ-10417808	Preclinical	caspase inhibitor	CASP3		
AZ-10606120	Preclinical	purinergic receptor antagonist	P2RX7		
AZ-12080282	Preclinical	hedgehog pathway inhibitor	DHH		
AZ-628	Preclinical	RAF inhibitor	BRAF|RAF1		
AZ-7371	Preclinical	antibacterial 			
azacitidine	Launched	DNA methyltransferase inhibitor	DNMT1|DNMT3A	hematologic malignancy|hematology	myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
azacyclonol	Preclinical	histamine receptor antagonist	HRH1		
azaguanine-8	Preclinical	purine antagonist	PNP		
azalomycin-B	Preclinical	bacterial 50S ribosomal subunit inhibitor			
azaperone	Launched	dopamine receptor antagonist	DRD2|DRD3	neurology/psychiatry	sedative
azapropazone	Withdrawn	cyclooxygenase inhibitor	PTGS2		
azaserine	Preclinical	purine antagonist			
azasetron	Launched	serotonin receptor antagonist	HTR3A|HTR3B	infectious disease	genitial herpes
azatadine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
azathioprine	Launched	dehydrogenase inhibitor	HPRT1|IMPDH1|PPAT	transplant|rheumatology	renal homotransplantation|rheumatoid arthritis
AZD0156	Phase 1	ATM kinase inhibitor			
AZD1080	Phase 1	glycogen synthase kinase inhibitor	GSK3A|GSK3B		
AZD1208	Phase 1	Pim kinase inhibitor	PIM1|PIM2|PIM3		
AZD1283	Preclinical	purinergic receptor antagonist	P2RY12		
AZD1390	Phase 1	ATM kinase inhibitor			
AZD1446	Phase 2	acetylcholine receptor agonist	CHRNA4|CHRNB2		
AZD1480	Phase 1	JAK inhibitor	JAK1|JAK2|JAK3		
AZD1981	Phase 2	CRTH receptor antagonist	PTGDR2		
AZD2014	Phase 2	mTOR inhibitor	MTOR		
AZD2461	Phase 1	PARP inhibitor			
AZD2858	Preclinical	glycogen synthase kinase inhibitor	GSK3B		
AZD3264	Preclinical	IKK inhibitor	IKBKB		
AZD3463	Preclinical	ALK tyrosine kinase receptor inhibitor|insulin growth factor receptor inhibitor	ALK|IGF1R		
